,run0,folds,,Running
webcar restricted all bbox,1,across machines,,
webcar restricted all eye,3,,,
webcar unrestricted all bbox,1,across machines,NOTE: not in its own folder,
wencar unrestricted all eye,7,,,
webcar restricted MMO bbox,1,across machines,,
webcar restrcited MMO eye,3,,,
webcar unrestricted MMO bbox,1,,,
webcar  unrestricted MMO eye,7,,,
webcar-clean  restricted all bbox,1,1,,
webcar-clean  restricted all eye,3,,,
webcar-clean  unrestricted all bbox,2,1,,
wencar-clean  unrestricted all eye,7,,,
webcar-clean  restricted MMO bbox,7,,,
webcar-clean  restrcited MMO eye,3,,,
webcar-clean  unrestricted MMO bbox,1,,,
webcar-clean  unrestricted MMO eye,7,,,
Ourcar restricted all bbox,1,across machines,,
Ourcar restricted all eye,2,,,
Ourcar unrestricted all bbox,2,,,
Ourcar unrestricted all eye,2,,,
Ourcar restricted MMO bbox,1,across machines,,
Ourcar restrcited MMO eye,2,,,
Ourcar unrestricted MMO bbox,1,across machines,,
Ourcar unrestricted MMO eye,2,,,
combo restricted all bbox,3,3,,
combo restricted all eye,2,3,,
combo unrestricted all bbox,3,,,
combo unrestricted all eye,2,,,
combo restricted MMO bbox,3,3,,
combo restrcited MMO eye,2,3,,
combo unrestricted MMO bbox,3,,,
combo unrestricted MMO eye,2,,,
